"id","source","target","type","fidelity","likelihood"
"mech.automated_application_expiration_timeout->operates_at->bar.inbound_screening_triage","mech.automated_application_expiration_timeout","bar.inbound_screening_triage","operates_at","",""
"mech.automated_application_expiration_timeout->emits->obs.rejection_after_the_application_sat_pending_for_months","mech.automated_application_expiration_timeout","obs.rejection_after_the_application_sat_pending_for_months","emits","direct","high"
"mech.automated_application_expiration_timeout->emits->obs.generic_closer_alignment_rejection_template","mech.automated_application_expiration_timeout","obs.generic_closer_alignment_rejection_template","emits","void","high"
"mech.automated_application_expiration_timeout->emits->obs.complete_silence_after_submission","mech.automated_application_expiration_timeout","obs.complete_silence_after_submission","emits","void","medium"
"mech.automated_application_expiration_timeout->masks->mech.stale_or_orphaned_job_requisition","mech.automated_application_expiration_timeout","mech.stale_or_orphaned_job_requisition","masks","",""
"mech.automated_keyword_qualification_filter->operates_at->bar.automated_filter_parser_threshold","mech.automated_keyword_qualification_filter","bar.automated_filter_parser_threshold","operates_at","",""
"mech.automated_keyword_qualification_filter->emits->obs.rejection_within_minutes_of_application_submission","mech.automated_keyword_qualification_filter","obs.rejection_within_minutes_of_application_submission","emits","direct","high"
"mech.automated_keyword_qualification_filter->emits->obs.generic_closer_alignment_rejection_template","mech.automated_keyword_qualification_filter","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.automated_keyword_qualification_filter->amplifies->mech.employment_gap_downranking_bias","mech.automated_keyword_qualification_filter","mech.employment_gap_downranking_bias","amplifies","",""
"mech.automated_keyword_qualification_filter->amplifies->mech.mid_process_role_requirement_redefinition","mech.automated_keyword_qualification_filter","mech.mid_process_role_requirement_redefinition","amplifies","",""
"mech.bench_priority_fill->operates_at->bar.requisition_approval_public_posting","mech.bench_priority_fill","bar.requisition_approval_public_posting","operates_at","",""
"mech.bench_priority_fill->operates_at->bar.inbound_screening_triage","mech.bench_priority_fill","bar.inbound_screening_triage","operates_at","",""
"mech.bench_priority_fill->emits->obs.generic_closer_alignment_rejection_template","mech.bench_priority_fill","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.bench_priority_fill->emits->obs.position_closed_after_final_interview_without_hire","mech.bench_priority_fill","obs.position_closed_after_final_interview_without_hire","emits","void","medium"
"mech.bench_priority_fill->emits->obs.rejection_naming_an_internal_hire_as_the_outcome","mech.bench_priority_fill","obs.rejection_naming_an_internal_hire_as_the_outcome","emits","direct","medium"
"mech.bid_conditional_talent_pool->operates_at->bar.outbound_sourcing_talent_pool_contact","mech.bid_conditional_talent_pool","bar.outbound_sourcing_talent_pool_contact","operates_at","",""
"mech.bid_conditional_talent_pool->emits->obs.complete_silence_after_submission","mech.bid_conditional_talent_pool","obs.complete_silence_after_submission","emits","void","high"
"mech.bid_conditional_talent_pool->emits->obs.unsolicited_recruiter_outreach_followed_by_ghosting","mech.bid_conditional_talent_pool","obs.unsolicited_recruiter_outreach_followed_by_ghosting","emits","void","high"
"mech.bid_conditional_talent_pool->emits->obs.republished_job_posting_with_refreshed_date_and_identical_requirement_body","mech.bid_conditional_talent_pool","obs.republished_job_posting_with_refreshed_date_and_identical_requirement_body","emits","distortion","medium"
"mech.communication_or_working_style_friction->operates_at->bar.recruiter_screening_call","mech.communication_or_working_style_friction","bar.recruiter_screening_call","operates_at","",""
"mech.communication_or_working_style_friction->operates_at->bar.team_cross_functional_panel","mech.communication_or_working_style_friction","bar.team_cross_functional_panel","operates_at","",""
"mech.communication_or_working_style_friction->emits->obs.communication_mismatch_or_tone_friction_in_panel","mech.communication_or_working_style_friction","obs.communication_mismatch_or_tone_friction_in_panel","emits","direct","high"
"mech.communication_or_working_style_friction->emits->obs.generic_closer_alignment_rejection_template","mech.communication_or_working_style_friction","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.domain_specificity_over_weighting->operates_at->bar.recruiter_screening_call","mech.domain_specificity_over_weighting","bar.recruiter_screening_call","operates_at","",""
"mech.domain_specificity_over_weighting->operates_at->bar.hiring_manager_in_depth_review","mech.domain_specificity_over_weighting","bar.hiring_manager_in_depth_review","operates_at","",""
"mech.domain_specificity_over_weighting->emits->obs.rejection_naming_a_specific_industry_sector_as_required","mech.domain_specificity_over_weighting","obs.rejection_naming_a_specific_industry_sector_as_required","emits","direct","medium"
"mech.domain_specificity_over_weighting->emits->obs.generic_closer_alignment_rejection_template","mech.domain_specificity_over_weighting","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.domain_specificity_over_weighting->emits->obs.explicit_feedback_citing_skill_depth_shortfall","mech.domain_specificity_over_weighting","obs.explicit_feedback_citing_skill_depth_shortfall","emits","direct","medium"
"mech.domain_specificity_over_weighting->amplifies->mech.hidden_evaluation_rubric_or_undisclosed_priority","mech.domain_specificity_over_weighting","mech.hidden_evaluation_rubric_or_undisclosed_priority","amplifies","",""
"mech.domain_specificity_over_weighting->masks->mech.genuine_technical_skill_shortfall","mech.domain_specificity_over_weighting","mech.genuine_technical_skill_shortfall","masks","",""
"mech.employment_gap_downranking_bias->operates_at->bar.automated_filter_parser_threshold","mech.employment_gap_downranking_bias","bar.automated_filter_parser_threshold","operates_at","",""
"mech.employment_gap_downranking_bias->operates_at->bar.inbound_screening_triage","mech.employment_gap_downranking_bias","bar.inbound_screening_triage","operates_at","",""
"mech.employment_gap_downranking_bias->emits->obs.complete_silence_after_submission","mech.employment_gap_downranking_bias","obs.complete_silence_after_submission","emits","void","high"
"mech.employment_gap_downranking_bias->emits->obs.generic_closer_alignment_rejection_template","mech.employment_gap_downranking_bias","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.employment_gap_downranking_bias->amplifies->mech.automated_keyword_qualification_filter","mech.employment_gap_downranking_bias","mech.automated_keyword_qualification_filter","amplifies","",""
"mech.experience_age_grading_mismatch->operates_at->bar.inbound_screening_triage","mech.experience_age_grading_mismatch","bar.inbound_screening_triage","operates_at","",""
"mech.experience_age_grading_mismatch->operates_at->bar.recruiter_screening_call","mech.experience_age_grading_mismatch","bar.recruiter_screening_call","operates_at","",""
"mech.experience_age_grading_mismatch->operates_at->bar.hiring_manager_in_depth_review","mech.experience_age_grading_mismatch","bar.hiring_manager_in_depth_review","operates_at","",""
"mech.experience_age_grading_mismatch->emits->obs.feedback_stating_candidate_is_overqualified_for_the_grade","mech.experience_age_grading_mismatch","obs.feedback_stating_candidate_is_overqualified_for_the_grade","emits","direct","high"
"mech.experience_age_grading_mismatch->emits->obs.generic_closer_alignment_rejection_template","mech.experience_age_grading_mismatch","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.experience_age_grading_mismatch->amplifies->mech.unstated_compensation_band_discrepancy","mech.experience_age_grading_mismatch","mech.unstated_compensation_band_discrepancy","amplifies","",""
"mech.experience_age_grading_mismatch->masks->mech.genuine_technical_skill_shortfall","mech.experience_age_grading_mismatch","mech.genuine_technical_skill_shortfall","masks","",""
"mech.genuine_technical_skill_shortfall->operates_at->bar.technical_screen_live_assessment","mech.genuine_technical_skill_shortfall","bar.technical_screen_live_assessment","operates_at","",""
"mech.genuine_technical_skill_shortfall->operates_at->bar.take_home_work_sample_evaluation","mech.genuine_technical_skill_shortfall","bar.take_home_work_sample_evaluation","operates_at","",""
"mech.genuine_technical_skill_shortfall->operates_at->bar.hiring_manager_in_depth_review","mech.genuine_technical_skill_shortfall","bar.hiring_manager_in_depth_review","operates_at","",""
"mech.genuine_technical_skill_shortfall->emits->obs.explicit_feedback_citing_skill_depth_shortfall","mech.genuine_technical_skill_shortfall","obs.explicit_feedback_citing_skill_depth_shortfall","emits","direct","high"
"mech.genuine_technical_skill_shortfall->emits->obs.generic_closer_alignment_rejection_template","mech.genuine_technical_skill_shortfall","obs.generic_closer_alignment_rejection_template","emits","euphemism","medium"
"mech.headcount_freeze_or_budget_cancellation->operates_at->bar.team_cross_functional_panel","mech.headcount_freeze_or_budget_cancellation","bar.team_cross_functional_panel","operates_at","",""
"mech.headcount_freeze_or_budget_cancellation->operates_at->bar.headcount_executive_budget_approval","mech.headcount_freeze_or_budget_cancellation","bar.headcount_executive_budget_approval","operates_at","",""
"mech.headcount_freeze_or_budget_cancellation->operates_at->bar.offer_closing_contract_execution","mech.headcount_freeze_or_budget_cancellation","bar.offer_closing_contract_execution","operates_at","",""
"mech.headcount_freeze_or_budget_cancellation->emits->obs.position_closed_after_final_interview_without_hire","mech.headcount_freeze_or_budget_cancellation","obs.position_closed_after_final_interview_without_hire","emits","direct","high"
"mech.headcount_freeze_or_budget_cancellation->emits->obs.offer_rescinded_or_delayed_due_to_internal_freeze","mech.headcount_freeze_or_budget_cancellation","obs.offer_rescinded_or_delayed_due_to_internal_freeze","emits","direct","high"
"mech.headcount_freeze_or_budget_cancellation->amplifies->mech.stale_or_orphaned_job_requisition","mech.headcount_freeze_or_budget_cancellation","mech.stale_or_orphaned_job_requisition","amplifies","",""
"mech.headcount_freeze_or_budget_cancellation->masks->mech.genuine_technical_skill_shortfall","mech.headcount_freeze_or_budget_cancellation","mech.genuine_technical_skill_shortfall","masks","",""
"mech.headcount_freeze_or_budget_cancellation->masks->mech.stronger_competing_candidate_in_final_cohort","mech.headcount_freeze_or_budget_cancellation","mech.stronger_competing_candidate_in_final_cohort","masks","",""
"mech.hidden_evaluation_rubric_or_undisclosed_priority->operates_at->bar.technical_screen_live_assessment","mech.hidden_evaluation_rubric_or_undisclosed_priority","bar.technical_screen_live_assessment","operates_at","",""
"mech.hidden_evaluation_rubric_or_undisclosed_priority->operates_at->bar.hiring_manager_in_depth_review","mech.hidden_evaluation_rubric_or_undisclosed_priority","bar.hiring_manager_in_depth_review","operates_at","",""
"mech.hidden_evaluation_rubric_or_undisclosed_priority->operates_at->bar.team_cross_functional_panel","mech.hidden_evaluation_rubric_or_undisclosed_priority","bar.team_cross_functional_panel","operates_at","",""
"mech.hidden_evaluation_rubric_or_undisclosed_priority->emits->obs.explicit_feedback_citing_skill_depth_shortfall","mech.hidden_evaluation_rubric_or_undisclosed_priority","obs.explicit_feedback_citing_skill_depth_shortfall","emits","distortion","medium"
"mech.hidden_evaluation_rubric_or_undisclosed_priority->emits->obs.conflicting_feedback_across_different_interviewers","mech.hidden_evaluation_rubric_or_undisclosed_priority","obs.conflicting_feedback_across_different_interviewers","emits","direct","high"
"mech.hidden_evaluation_rubric_or_undisclosed_priority->amplifies->mech.hiring_manager_consensus_impasse","mech.hidden_evaluation_rubric_or_undisclosed_priority","mech.hiring_manager_consensus_impasse","amplifies","",""
"mech.hidden_evaluation_rubric_or_undisclosed_priority->masks->mech.genuine_technical_skill_shortfall","mech.hidden_evaluation_rubric_or_undisclosed_priority","mech.genuine_technical_skill_shortfall","masks","",""
"mech.hiring_manager_consensus_impasse->operates_at->bar.team_cross_functional_panel","mech.hiring_manager_consensus_impasse","bar.team_cross_functional_panel","operates_at","",""
"mech.hiring_manager_consensus_impasse->emits->obs.conflicting_feedback_across_different_interviewers","mech.hiring_manager_consensus_impasse","obs.conflicting_feedback_across_different_interviewers","emits","direct","high"
"mech.hiring_manager_consensus_impasse->emits->obs.generic_closer_alignment_rejection_template","mech.hiring_manager_consensus_impasse","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.hiring_manager_consensus_impasse->masks->mech.stronger_competing_candidate_in_final_cohort","mech.hiring_manager_consensus_impasse","mech.stronger_competing_candidate_in_final_cohort","masks","",""
"mech.inflated_requisition_requirements_vs_actual_team_needs->operates_at->bar.requisition_approval_public_posting","mech.inflated_requisition_requirements_vs_actual_team_needs","bar.requisition_approval_public_posting","operates_at","",""
"mech.inflated_requisition_requirements_vs_actual_team_needs->operates_at->bar.automated_filter_parser_threshold","mech.inflated_requisition_requirements_vs_actual_team_needs","bar.automated_filter_parser_threshold","operates_at","",""
"mech.inflated_requisition_requirements_vs_actual_team_needs->operates_at->bar.recruiter_screening_call","mech.inflated_requisition_requirements_vs_actual_team_needs","bar.recruiter_screening_call","operates_at","",""
"mech.inflated_requisition_requirements_vs_actual_team_needs->emits->obs.generic_closer_alignment_rejection_template","mech.inflated_requisition_requirements_vs_actual_team_needs","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.inflated_requisition_requirements_vs_actual_team_needs->emits->obs.materially_similar_role_reposted_shortly_after_rejection","mech.inflated_requisition_requirements_vs_actual_team_needs","obs.materially_similar_role_reposted_shortly_after_rejection","emits","noise","medium"
"mech.inflated_requisition_requirements_vs_actual_team_needs->amplifies->mech.automated_keyword_qualification_filter","mech.inflated_requisition_requirements_vs_actual_team_needs","mech.automated_keyword_qualification_filter","amplifies","",""
"mech.inflated_requisition_requirements_vs_actual_team_needs->amplifies->mech.unstated_compensation_band_discrepancy","mech.inflated_requisition_requirements_vs_actual_team_needs","mech.unstated_compensation_band_discrepancy","amplifies","",""
"mech.interview_resource_scheduling_saturation->operates_at->bar.technical_screen_live_assessment","mech.interview_resource_scheduling_saturation","bar.technical_screen_live_assessment","operates_at","",""
"mech.interview_resource_scheduling_saturation->operates_at->bar.hiring_manager_in_depth_review","mech.interview_resource_scheduling_saturation","bar.hiring_manager_in_depth_review","operates_at","",""
"mech.interview_resource_scheduling_saturation->operates_at->bar.team_cross_functional_panel","mech.interview_resource_scheduling_saturation","bar.team_cross_functional_panel","operates_at","",""
"mech.interview_resource_scheduling_saturation->emits->obs.multiple_interview_reschedulings_or_interviewer_no_show","mech.interview_resource_scheduling_saturation","obs.multiple_interview_reschedulings_or_interviewer_no_show","emits","direct","high"
"mech.interview_resource_scheduling_saturation->emits->obs.complete_silence_after_submission","mech.interview_resource_scheduling_saturation","obs.complete_silence_after_submission","emits","noise","medium"
"mech.interview_resource_scheduling_saturation->amplifies->mech.take_home_evaluation_fatigue_asymmetry","mech.interview_resource_scheduling_saturation","mech.take_home_evaluation_fatigue_asymmetry","amplifies","",""
"mech.location_or_timezone_compliance_constraint->operates_at->bar.automated_filter_parser_threshold","mech.location_or_timezone_compliance_constraint","bar.automated_filter_parser_threshold","operates_at","",""
"mech.location_or_timezone_compliance_constraint->operates_at->bar.recruiter_screening_call","mech.location_or_timezone_compliance_constraint","bar.recruiter_screening_call","operates_at","",""
"mech.location_or_timezone_compliance_constraint->emits->obs.rejection_naming_a_jurisdiction_or_work_eligibility_ground","mech.location_or_timezone_compliance_constraint","obs.rejection_naming_a_jurisdiction_or_work_eligibility_ground","emits","direct","high"
"mech.location_or_timezone_compliance_constraint->emits->obs.rejection_within_minutes_of_application_submission","mech.location_or_timezone_compliance_constraint","obs.rejection_within_minutes_of_application_submission","emits","direct","high"
"mech.location_or_timezone_compliance_constraint->emits->obs.generic_closer_alignment_rejection_template","mech.location_or_timezone_compliance_constraint","obs.generic_closer_alignment_rejection_template","emits","euphemism","medium"
"mech.mid_process_role_requirement_redefinition->operates_at->bar.hiring_manager_in_depth_review","mech.mid_process_role_requirement_redefinition","bar.hiring_manager_in_depth_review","operates_at","",""
"mech.mid_process_role_requirement_redefinition->operates_at->bar.team_cross_functional_panel","mech.mid_process_role_requirement_redefinition","bar.team_cross_functional_panel","operates_at","",""
"mech.mid_process_role_requirement_redefinition->operates_at->bar.compensation_levelling_reconciliation","mech.mid_process_role_requirement_redefinition","bar.compensation_levelling_reconciliation","operates_at","",""
"mech.mid_process_role_requirement_redefinition->emits->obs.position_closed_after_final_interview_without_hire","mech.mid_process_role_requirement_redefinition","obs.position_closed_after_final_interview_without_hire","emits","distortion","medium"
"mech.mid_process_role_requirement_redefinition->emits->obs.materially_similar_role_reposted_shortly_after_rejection","mech.mid_process_role_requirement_redefinition","obs.materially_similar_role_reposted_shortly_after_rejection","emits","direct","high"
"mech.mid_process_role_requirement_redefinition->amplifies->mech.unstated_compensation_band_discrepancy","mech.mid_process_role_requirement_redefinition","mech.unstated_compensation_band_discrepancy","amplifies","",""
"mech.mid_process_role_requirement_redefinition->amplifies->mech.inflated_requisition_requirements_vs_actual_team_needs","mech.mid_process_role_requirement_redefinition","mech.inflated_requisition_requirements_vs_actual_team_needs","amplifies","",""
"mech.mid_process_role_requirement_redefinition->masks->mech.genuine_technical_skill_shortfall","mech.mid_process_role_requirement_redefinition","mech.genuine_technical_skill_shortfall","masks","",""
"mech.portfolio_work_artifact_misinterpretation->operates_at->bar.inbound_screening_triage","mech.portfolio_work_artifact_misinterpretation","bar.inbound_screening_triage","operates_at","",""
"mech.portfolio_work_artifact_misinterpretation->operates_at->bar.technical_screen_live_assessment","mech.portfolio_work_artifact_misinterpretation","bar.technical_screen_live_assessment","operates_at","",""
"mech.portfolio_work_artifact_misinterpretation->emits->obs.feedback_naming_as_absent_something_the_submitted_work_contains","mech.portfolio_work_artifact_misinterpretation","obs.feedback_naming_as_absent_something_the_submitted_work_contains","emits","direct","medium"
"mech.portfolio_work_artifact_misinterpretation->emits->obs.generic_closer_alignment_rejection_template","mech.portfolio_work_artifact_misinterpretation","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.portfolio_work_artifact_misinterpretation->emits->obs.explicit_feedback_citing_skill_depth_shortfall","mech.portfolio_work_artifact_misinterpretation","obs.explicit_feedback_citing_skill_depth_shortfall","emits","distortion","medium"
"mech.portfolio_work_artifact_misinterpretation->amplifies->mech.genuine_technical_skill_shortfall","mech.portfolio_work_artifact_misinterpretation","mech.genuine_technical_skill_shortfall","amplifies","",""
"mech.pre_selected_internal_candidate->operates_at->bar.requisition_approval_public_posting","mech.pre_selected_internal_candidate","bar.requisition_approval_public_posting","operates_at","",""
"mech.pre_selected_internal_candidate->operates_at->bar.application_ingestion","mech.pre_selected_internal_candidate","bar.application_ingestion","operates_at","",""
"mech.pre_selected_internal_candidate->operates_at->bar.inbound_screening_triage","mech.pre_selected_internal_candidate","bar.inbound_screening_triage","operates_at","",""
"mech.pre_selected_internal_candidate->operates_at->bar.hiring_manager_in_depth_review","mech.pre_selected_internal_candidate","bar.hiring_manager_in_depth_review","operates_at","",""
"mech.pre_selected_internal_candidate->emits->obs.rejection_naming_an_internal_hire_as_the_outcome","mech.pre_selected_internal_candidate","obs.rejection_naming_an_internal_hire_as_the_outcome","emits","direct","medium"
"mech.pre_selected_internal_candidate->emits->obs.generic_closer_alignment_rejection_template","mech.pre_selected_internal_candidate","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.pre_selected_internal_candidate->emits->obs.position_closed_after_final_interview_without_hire","mech.pre_selected_internal_candidate","obs.position_closed_after_final_interview_without_hire","emits","euphemism","medium"
"mech.pre_selected_internal_candidate->masks->mech.stronger_competing_candidate_in_final_cohort","mech.pre_selected_internal_candidate","mech.stronger_competing_candidate_in_final_cohort","masks","",""
"mech.probation_used_as_extended_de_facto_interview->operates_at->bar.probation_period_post_start_confirmation","mech.probation_used_as_extended_de_facto_interview","bar.probation_period_post_start_confirmation","operates_at","",""
"mech.probation_used_as_extended_de_facto_interview->emits->obs.offer_accepted_followed_by_delayed_start_date_or_post_signing_revocation","mech.probation_used_as_extended_de_facto_interview","obs.offer_accepted_followed_by_delayed_start_date_or_post_signing_revocation","emits","direct","medium"
"mech.probation_used_as_extended_de_facto_interview->emits->obs.generic_closer_alignment_rejection_template","mech.probation_used_as_extended_de_facto_interview","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.probation_used_as_extended_de_facto_interview->emits->obs.rejection_naming_an_internal_hire_as_the_outcome","mech.probation_used_as_extended_de_facto_interview","obs.rejection_naming_an_internal_hire_as_the_outcome","emits","noise","medium"
"mech.recruiter_volume_quota_incentive_distortion->operates_at->bar.inbound_screening_triage","mech.recruiter_volume_quota_incentive_distortion","bar.inbound_screening_triage","operates_at","",""
"mech.recruiter_volume_quota_incentive_distortion->operates_at->bar.recruiter_screening_call","mech.recruiter_volume_quota_incentive_distortion","bar.recruiter_screening_call","operates_at","",""
"mech.recruiter_volume_quota_incentive_distortion->emits->obs.complete_silence_after_submission","mech.recruiter_volume_quota_incentive_distortion","obs.complete_silence_after_submission","emits","void","high"
"mech.recruiter_volume_quota_incentive_distortion->emits->obs.unsolicited_recruiter_outreach_followed_by_ghosting","mech.recruiter_volume_quota_incentive_distortion","obs.unsolicited_recruiter_outreach_followed_by_ghosting","emits","noise","medium"
"mech.recruiter_volume_quota_incentive_distortion->amplifies->mech.interview_resource_scheduling_saturation","mech.recruiter_volume_quota_incentive_distortion","mech.interview_resource_scheduling_saturation","amplifies","",""
"mech.recruiter_volume_quota_incentive_distortion->masks->mech.automated_keyword_qualification_filter","mech.recruiter_volume_quota_incentive_distortion","mech.automated_keyword_qualification_filter","masks","",""
"mech.reference_check_discrepancy_or_regulatory_ineligibility->operates_at->bar.reference_background_verification","mech.reference_check_discrepancy_or_regulatory_ineligibility","bar.reference_background_verification","operates_at","",""
"mech.reference_check_discrepancy_or_regulatory_ineligibility->emits->obs.offer_rescinded_or_delayed_due_to_internal_freeze","mech.reference_check_discrepancy_or_regulatory_ineligibility","obs.offer_rescinded_or_delayed_due_to_internal_freeze","emits","direct","high"
"mech.reference_check_discrepancy_or_regulatory_ineligibility->emits->obs.generic_closer_alignment_rejection_template","mech.reference_check_discrepancy_or_regulatory_ineligibility","obs.generic_closer_alignment_rejection_template","emits","euphemism","medium"
"mech.speculative_sourcing_talent_pooling_without_opening->operates_at->bar.requisition_approval_public_posting","mech.speculative_sourcing_talent_pooling_without_opening","bar.requisition_approval_public_posting","operates_at","",""
"mech.speculative_sourcing_talent_pooling_without_opening->operates_at->bar.outbound_sourcing_talent_pool_contact","mech.speculative_sourcing_talent_pooling_without_opening","bar.outbound_sourcing_talent_pool_contact","operates_at","",""
"mech.speculative_sourcing_talent_pooling_without_opening->operates_at->bar.inbound_screening_triage","mech.speculative_sourcing_talent_pooling_without_opening","bar.inbound_screening_triage","operates_at","",""
"mech.speculative_sourcing_talent_pooling_without_opening->operates_at->bar.recruiter_screening_call","mech.speculative_sourcing_talent_pooling_without_opening","bar.recruiter_screening_call","operates_at","",""
"mech.speculative_sourcing_talent_pooling_without_opening->emits->obs.unsolicited_recruiter_outreach_followed_by_ghosting","mech.speculative_sourcing_talent_pooling_without_opening","obs.unsolicited_recruiter_outreach_followed_by_ghosting","emits","distortion","high"
"mech.speculative_sourcing_talent_pooling_without_opening->emits->obs.complete_silence_after_submission","mech.speculative_sourcing_talent_pooling_without_opening","obs.complete_silence_after_submission","emits","void","medium"
"mech.speculative_sourcing_talent_pooling_without_opening->emits->obs.republished_job_posting_with_refreshed_date_and_identical_requirement_body","mech.speculative_sourcing_talent_pooling_without_opening","obs.republished_job_posting_with_refreshed_date_and_identical_requirement_body","emits","distortion","high"
"mech.speculative_sourcing_talent_pooling_without_opening->amplifies->mech.recruiter_volume_quota_incentive_distortion","mech.speculative_sourcing_talent_pooling_without_opening","mech.recruiter_volume_quota_incentive_distortion","amplifies","",""
"mech.stale_or_orphaned_job_requisition->operates_at->bar.requisition_approval_public_posting","mech.stale_or_orphaned_job_requisition","bar.requisition_approval_public_posting","operates_at","",""
"mech.stale_or_orphaned_job_requisition->operates_at->bar.application_ingestion","mech.stale_or_orphaned_job_requisition","bar.application_ingestion","operates_at","",""
"mech.stale_or_orphaned_job_requisition->operates_at->bar.automated_filter_parser_threshold","mech.stale_or_orphaned_job_requisition","bar.automated_filter_parser_threshold","operates_at","",""
"mech.stale_or_orphaned_job_requisition->operates_at->bar.inbound_screening_triage","mech.stale_or_orphaned_job_requisition","bar.inbound_screening_triage","operates_at","",""
"mech.stale_or_orphaned_job_requisition->emits->obs.complete_silence_after_submission","mech.stale_or_orphaned_job_requisition","obs.complete_silence_after_submission","emits","void","high"
"mech.stale_or_orphaned_job_requisition->emits->obs.materially_similar_role_reposted_shortly_after_rejection","mech.stale_or_orphaned_job_requisition","obs.materially_similar_role_reposted_shortly_after_rejection","emits","noise","medium"
"mech.stale_or_orphaned_job_requisition->emits->obs.republished_job_posting_with_refreshed_date_and_identical_requirement_body","mech.stale_or_orphaned_job_requisition","obs.republished_job_posting_with_refreshed_date_and_identical_requirement_body","emits","distortion","medium"
"mech.stale_or_orphaned_job_requisition->amplifies->mech.automated_application_expiration_timeout","mech.stale_or_orphaned_job_requisition","mech.automated_application_expiration_timeout","amplifies","",""
"mech.start_date_slippage_and_post_acceptance_revocation->operates_at->bar.offer_closing_contract_execution","mech.start_date_slippage_and_post_acceptance_revocation","bar.offer_closing_contract_execution","operates_at","",""
